"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
2017-08-18,"Leganes","Alaves",1,0,"H"
2017-08-18,"Valencia","Las Palmas",1,0,"H"
2017-08-19,"Celta","Sociedad",2,3,"A"
2017-08-19,"Girona","Ath Madrid",2,2,"D"
2017-08-19,"Sevilla","Espanol",1,1,"D"
2017-08-20,"Ath Bilbao","Getafe",0,0,"D"
2017-08-20,"Barcelona","Betis",2,0,"H"
2017-08-20,"La Coruna","Real Madrid",0,3,"A"
2017-08-21,"Levante","Villarreal",1,0,"H"
2017-08-21,"Malaga","Eibar",0,1,"A"
2017-08-25,"Betis","Celta",2,1,"H"
2017-08-25,"Sociedad","Villarreal",3,0,"H"
2017-08-26,"Alaves","Barcelona",0,2,"A"
2017-08-26,"Girona","Malaga",1,0,"H"
2017-08-26,"Las Palmas","Ath Madrid",1,5,"A"
2017-08-26,"Levante","La Coruna",2,2,"D"
2017-08-27,"Eibar","Ath Bilbao",0,1,"A"
2017-08-27,"Espanol","Leganes",0,1,"A"
2017-08-27,"Getafe","Sevilla",0,1,"A"
2017-08-27,"Real Madrid","Valencia",2,2,"D"
2017-09-08,"Leganes","Getafe",1,2,"A"
2017-09-09,"Barcelona","Espanol",5,0,"H"
2017-09-09,"Real Madrid","Levante",1,1,"D"
2017-09-09,"Sevilla","Eibar",3,0,"H"
2017-09-09,"Valencia","Ath Madrid",0,0,"D"
2017-09-10,"Ath Bilbao","Girona",2,0,"H"
2017-09-10,"Celta","Alaves",1,0,"H"
2017-09-10,"La Coruna","Sociedad",2,4,"A"
2017-09-10,"Villarreal","Betis",3,1,"H"
2017-09-11,"Malaga","Las Palmas",1,3,"A"
2017-09-15,"Eibar","Leganes",1,0,"H"
2017-09-16,"Ath Madrid","Malaga",1,0,"H"
2017-09-16,"Betis","La Coruna",2,1,"H"
2017-09-16,"Getafe","Barcelona",1,2,"A"
2017-09-16,"Levante","Valencia",1,1,"D"
2017-09-17,"Alaves","Villarreal",0,3,"A"
2017-09-17,"Girona","Sevilla",0,1,"A"
2017-09-17,"Las Palmas","Ath Bilbao",1,0,"H"
2017-09-17,"Sociedad","Real Madrid",1,3,"A"
2017-09-18,"Espanol","Celta",2,1,"H"
2017-09-19,"Barcelona","Eibar",6,1,"H"
2017-09-19,"Valencia","Malaga",5,0,"H"
2017-09-20,"Ath Bilbao","Ath Madrid",1,2,"A"
2017-09-20,"La Coruna","Alaves",1,0,"H"
2017-09-20,"Leganes","Girona",0,0,"D"
2017-09-20,"Real Madrid","Betis",0,1,"A"
