"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",2020-08-17,"Betis","Levante",0,3,"A"
"2",2020-08-17,"Girona","Valladolid",0,0,"D"
"3",2020-08-18,"Barcelona","Alaves",3,0,"H"
"4",2020-08-18,"Celta","Espanol",1,1,"D"
"5",2020-08-18,"Villarreal","Sociedad",1,2,"A"
"6",2020-08-19,"Eibar","Huesca",1,2,"A"
"7",2020-08-19,"Real Madrid","Getafe",2,0,"H"
"8",2020-08-19,"Vallecano","Sevilla",1,4,"A"
"9",2020-08-20,"Ath Bilbao","Leganes",2,1,"H"
"10",2020-08-20,"Valencia","Ath Madrid",1,1,"D"
"11",2020-08-24,"Getafe","Eibar",2,0,"H"
"12",2020-08-24,"Leganes","Sociedad",2,2,"D"
"13",2020-08-25,"Alaves","Betis",0,0,"D"
"14",2020-08-25,"Ath Madrid","Vallecano",1,0,"H"
"15",2020-08-25,"Valladolid","Barcelona",0,1,"A"
"16",2020-08-26,"Espanol","Valencia",2,0,"H"
"17",2020-08-26,"Girona","Real Madrid",1,4,"A"
"18",2020-08-26,"Sevilla","Villarreal",0,0,"D"
"19",2020-08-27,"Ath Bilbao","Huesca",2,2,"D"
"20",2020-08-27,"Levante","Celta",1,2,"A"
"21",2020-08-31,"Eibar","Sociedad",2,1,"H"
"22",2020-08-31,"Getafe","Valladolid",0,0,"D"
"23",2020-08-31,"Villarreal","Girona",0,1,"A"
"24",2020-09-01,"Celta","Ath Madrid",2,0,"H"
"25",2020-09-01,"Real Madrid","Leganes",4,1,"H"
"26",2020-09-02,"Alaves","Espanol",2,1,"H"
"27",2020-09-02,"Barcelona","Huesca",8,2,"H"
"28",2020-09-02,"Betis","Sevilla",1,0,"H"
"29",2020-09-02,"Levante","Valencia",2,2,"D"
"30",2020-09-14,"Huesca","Vallecano",0,1,"A"
"31",2020-09-15,"Ath Bilbao","Real Madrid",1,1,"D"
"32",2020-09-15,"Ath Madrid","Eibar",1,1,"D"
"33",2020-09-15,"Sociedad","Barcelona",1,2,"A"
"34",2020-09-15,"Valencia","Betis",0,0,"D"
"35",2020-09-16,"Espanol","Levante",1,0,"H"
"36",2020-09-16,"Leganes","Villarreal",0,1,"A"
"37",2020-09-16,"Sevilla","Getafe",0,2,"A"
"38",2020-09-16,"Valladolid","Alaves",0,1,"A"
"39",2020-09-17,"Girona","Celta",3,2,"H"
"40",2020-09-21,"Huesca","Sociedad",0,1,"A"
"41",2020-09-22,"Celta","Valladolid",3,3,"D"
"42",2020-09-22,"Eibar","Leganes",1,0,"H"
"43",2020-09-22,"Getafe","Ath Madrid",0,2,"A"
"44",2020-09-22,"Real Madrid","Espanol",1,0,"H"
"45",2020-09-22,"Vallecano","Alaves",1,5,"A"
"46",2020-09-23,"Barcelona","Girona",2,2,"D"
"47",2020-09-23,"Betis","Ath Bilbao",2,2,"D"
"48",2020-09-23,"Levante","Sevilla",2,6,"A"
"49",2020-09-23,"Villarreal","Valencia",0,0,"D"
"50",2020-09-25,"Ath Madrid","Huesca",3,0,"H"
"51",2020-09-25,"Espanol","Eibar",1,0,"H"
