"Home.team","Away.team","Prob.win","Prob.lose","Prob.tie","Pred.hometeam.score","Pred.awayteam.score"
"Alaves","Barcelona",9.148,75.43,15.422,1,2
"Valladolid","Betis",28.613,43.209,28.178,1,1
"Villarreal","Eibar",44.877,29.768,25.355,2,1
"Ath Madrid","Sociedad",54.174,19.646,26.18,1,1
"Espanol","Celta",31.961,41.288,26.751,1,1
"Granada","Ath Bilbao",39.665,31.113,29.222,1,1
"Leganes","Real Madrid",12.803,66.318,20.879,1,2
"Levante","Getafe",25.015,48.048,26.937,1,1
"Osasuna","Mallorca",47.541,27.742,24.717,2,1
"Sevilla","Valencia",33.779,39.897,26.324,1,1
